category,case_number
DRUG,CR-23-677502-A
DRUG,CR-23-677512-A
DRUG,CR-23-677516-A
DRUG,CR-23-677529-A
DRUG,CR-23-677530-B
DRUG,CR-23-677544-A
DRUG,CR-23-677545-A
DRUG,CR-23-677546-A
DRUG,CR-23-677552-A
DRUG,CR-23-677554-A
DRUG,CR-23-677557-A
DRUG,CR-23-677558-A
DRUG,CR-23-677576-A
DRUG,CR-23-677580-A
DRUG,CR-23-677584-A
DRUG,CR-23-677602-A
DRUG,CR-23-677603-A
DRUG,CR-23-677613-A
DRUG,CR-23-677614-A
DRUG,CR-23-677619-A
DRUG,CR-23-677625-A
DRUG,CR-23-677629-A
DRUG,CR-23-677639-A
DRUG,CR-23-677640-A
DRUG,CR-23-677641-A
DRUG,CR-23-677650-A
DRUG,CR-23-677655-A
DRUG,CR-23-677661-A
DRUG,CR-23-677668-A
DRUG,CR-23-677669-A
DRUG,CR-23-677670-A
DRUG,CR-23-677679-A
DRUG,CR-23-677680-A
DRUG,CR-23-677702-A
DRUG,CR-23-677722-A
DRUG,CR-23-677724-A
DRUG,CR-23-677727-A
DRUG,CR-23-677728-A
DRUG,CR-23-677729-A
DRUG,CR-23-677745-A
DRUG,CR-23-677746-A
DRUG,CR-23-677747-A
DRUG,CR-23-677748-A
DRUG,CR-23-677756-A
DRUG,CR-23-677774-A
DRUG,CR-23-677778-A
DRUG,CR-23-677795-A
DRUG,CR-23-677811-A
DRUG,CR-23-677825-A
DRUG,CR-23-677836-A
DRUG,CR-23-677850-A
DRUG,CR-23-677856-A
DRUG,CR-23-677858-A
DRUG,CR-23-677861-A
DRUG,CR-23-677865-A
DRUG,CR-23-677876-A
DRUG,CR-23-677881-A
DRUG,CR-23-677882-A
DRUG,CR-23-677896-A
DRUG,CR-23-677915-A
DRUG,CR-23-677921-A
DRUG,CR-23-677923-A
DRUG,CR-23-677931-A
DRUG,CR-23-677937-A
DRUG,CR-23-677961-A
DRUG,CR-23-677962-A
DRUG,CR-23-677965-A
DRUG,CR-23-677970-A
DRUG,CR-23-677981-A
DRUG,CR-23-677984-A
DRUG,CR-23-677985-A
DRUG,CR-23-677986-A
DRUG,CR-23-677989-A
DRUG,CR-23-677995-A
DRUG,CR-23-678013-A
DRUG,CR-23-678026-A
DRUG,CR-23-678040-A
DRUG,CR-23-678044-A
DRUG,CR-23-678046-A
DRUG,CR-23-678050-A
DRUG,CR-23-678057-A
DRUG,CR-23-678060-A
DRUG,CR-23-678065-A
DRUG,CR-23-678069-A
DRUG,CR-23-678070-A
DRUG,CR-23-678071-A
DRUG,CR-23-678079-A
DRUG,CR-23-678082-A
DRUG,CR-23-678102-A
DRUG,CR-23-678103-A
DRUG,CR-23-678108-A
DRUG,CR-23-678118-A
DRUG,CR-23-678119-A
DRUG,CR-23-678124-A
DRUG,CR-23-678131-A
DRUG,CR-23-678135-A
DRUG,CR-23-678138-A
DRUG,CR-23-678192-A
DRUG,CR-23-678198-A
DRUG,CR-23-678202-A
DRUG,CR-23-678227-A
DRUG,CR-23-678228-A
DRUG,CR-23-678269-A
DRUG,CR-23-678289-A
DRUG,CR-23-678298-A
DRUG,CR-23-678333-A
DRUG,CR-23-678356-A
DRUG,CR-23-678361-A
DRUG,CR-23-678380-A
DRUG,CR-23-678383-A
DRUG,CR-23-678400-A
DRUG,CR-23-678405-A
DRUG,CR-23-678439-A
DRUG,CR-23-678444-A
DRUG,CR-23-678466-A
DRUG,CR-23-678467-A
DRUG,CR-23-678471-A
DRUG,CR-23-678491-A
DRUG,CR-23-678510-A
DRUG,CR-23-678516-A
DRUG,CR-23-678543-A
DRUG,CR-23-678548-A
DRUG,CR-23-678551-A
DRUG,CR-23-678588-A
DRUG,CR-23-678647-A
DRUG,CR-23-678655-A
DRUG,CR-23-678667-A
DRUG,CR-23-678687-A
DRUG,CR-23-678692-A
DRUG,CR-23-678693-A
DRUG,CR-23-678703-A
DRUG,CR-23-678704-A
DRUG,CR-23-678706-A
DRUG,CR-23-678709-A
DRUG,CR-23-678731-A
DRUG,CR-23-678749-A
DRUG,CR-23-678751-A
DRUG,CR-23-678755-A
DRUG,CR-23-678766-A
DRUG,CR-23-678781-A
DRUG,CR-23-678782-A
DRUG,CR-23-678783-A
DRUG,CR-23-678784-A
DRUG,CR-23-678786-A
DRUG,CR-23-678788-A
DRUG,CR-23-678794-A
DRUG,CR-23-678818-A
DRUG,CR-23-678826-A
DRUG,CR-23-678829-A
DRUG,CR-23-678841-A
DRUG,CR-23-678849-A
DRUG,CR-23-678858-A
DRUG,CR-23-678859-A
DRUG,CR-23-678869-A
DRUG,CR-23-678884-A
DRUG,CR-23-678897-A
DRUG,CR-23-678912-A
DRUG,CR-23-678915-A
DRUG,CR-23-678918-A
DRUG,CR-23-678919-A
DRUG,CR-23-678934-A
DRUG,CR-23-678944-A
DRUG,CR-23-678945-A
DRUG,CR-23-678946-A
DRUG,CR-23-678964-A
DRUG,CR-23-678978-A
DRUG,CR-23-678979-A
DRUG,CR-23-678980-A
DRUG,CR-23-678982-A
DRUG,CR-23-678991-A
DRUG,CR-23-679022-A
DRUG,CR-23-679023-A
DRUG,CR-23-679051-A
DRUG,CR-23-679077-A
DRUG,CR-23-679079-A
DRUG,CR-23-679086-A
DRUG,CR-23-679087-A
DRUG,CR-23-679090-A
DRUG,CR-23-679095-A
DRUG,CR-23-679104-A
DRUG,CR-23-679105-A
DRUG,CR-23-679113-A
DRUG,CR-23-679119-A
DRUG,CR-23-679120-A
DRUG,CR-23-679122-A
DRUG,CR-23-679125-A
DRUG,CR-23-679138-A
DRUG,CR-23-679140-A
DRUG,CR-23-679141-A
DRUG,CR-23-679156-A
DRUG,CR-23-679157-A
DRUG,CR-23-679159-A
DRUG,CR-23-679164-A
DRUG,CR-23-679168-A
DRUG,CR-23-679170-A
DRUG,CR-23-679175-A
DRUG,CR-23-679178-A
DRUG,CR-23-679191-A
DRUG,CR-23-679192-A
DRUG,CR-23-679195-A
DRUG,CR-23-679196-A
DRUG,CR-23-679201-A
DRUG,CR-23-679217-A
DRUG,CR-23-679220-A
DRUG,CR-23-679235-A
DRUG,CR-23-679242-A
DRUG,CR-23-679243-A
DRUG,CR-23-679244-A
DRUG,CR-23-679247-A
DRUG,CR-23-679261-A
DRUG,CR-23-679265-A
DRUG,CR-23-679268-A
DRUG,CR-23-679271-A
DRUG,CR-23-679281-A
DRUG,CR-23-679282-A
DRUG,CR-23-679296-A
DRUG,CR-23-679301-A
DRUG,CR-23-679306-A
DRUG,CR-23-679310-A
DRUG,CR-23-679312-A
DRUG,CR-23-679318-A
DRUG,CR-23-679321-A
DRUG,CR-23-679326-A
DRUG,CR-23-679328-A
DRUG,CR-23-679329-A
DRUG,CR-23-679330-A
DRUG,CR-23-679333-A
DRUG,CR-23-679346-A
DRUG,CR-23-679349-A
DRUG,CR-23-679362-A
DRUG,CR-23-679371-A
DRUG,CR-23-679376-A
DRUG,CR-23-679427-A
DRUG,CR-23-679460-A
DRUG,CR-23-679461-A
DRUG,CR-23-679484-A
DRUG,CR-23-679490-A
DRUG,CR-23-679491-A
DRUG,CR-23-679494-A
