participant,cases,wins,losses
N/A,11054,1173,160
PUBLIC DEFENDER,67,8,0
WILLIAM C SHAUGHNESSY,46,3,3
CRAIG W. SMOTZER,44,4,1
FALLON RADIGAN,43,2,4
JAYE M SCHLACHET,43,6,0
RACHELLE D. SUMMERS,41,7,4
DAVID H BROWN,37,3,1
ANDUENA DOBROSHI,36,5,1
LAUREN ESARCO,36,5,2
NANCY T JAMIESON,34,3,0
PATRICIA LONDON,33,1,1
THOMAS E SHAUGHNESSY,33,9,1
BRIAN RADIGAN,32,5,0
CHARLES M MORGAN,32,6,0
WALTER H. EDWARDS JR.,32,5,0
CARLOS K JOHNSON,31,2,0
JAMES J HOFELICH,31,5,1
THOMAS M SHAUGHNESSY,31,3,0
DANIEL M. TIRFAGNEHU,30,3,1
BRET JORDAN,29,6,3
FERNANDO MACK,29,4,0
SEAN BUCHANAN,29,7,1
MARY JO TIPPING,28,4,1
SUSAN J MORAN,27,3,1
W SCOTT RAMSEY,27,7,0
DARYL T DENNIE,26,7,0
MAXWELL MARTIN,26,5,0
MORGAN L PIRC,26,4,1
RICHARD A NEFF,26,4,2
BRITT NEWMAN,25,3,1
DANIEL J MISIEWICZ,25,5,0
JOSEPH D. BUCKLEY,25,4,0
AUDREY DEL VALLE,24,0,0
CHRISTINE M JULIAN,24,0,0
JEFFREY S RICHARDSON,24,7,1
KELSEY TAYLOR,24,5,0
DAVID TANNEHILL,23,3,0
JAMES J MCDONNELL,23,3,0
MARK A DEFRANCO,23,2,0
OSCAR E RODRIGUEZ,23,4,0
TIMOTHY E. HUBER,23,2,1
JEFF GARDNER,22,1,0
JEFFREY A SHIVELY,22,2,1
VALERIE R ARBIE-MCCLELLAND,22,3,0
BRANDON SUMMERS,21,2,0
CHRISTOPHER MAHER,21,6,5
DEANGELO LITTLE,21,0,0
MARY CATHERINE CORRIGAN,21,1,0
MICHAEL I MAREIN,21,5,0
MICHAEL V. HEFFERNAN,21,2,0
RACHEL A BERMAN,21,5,1
RACHEL M. KALAYJIAN,21,3,1
SHEILA DOWNS,21,4,0
DEANNA ROBERTSON,20,2,0
JAMES S BESENYEI,20,4,0
KEVIN M CAFFERKEY,20,3,1
MARK SPADARO,20,2,1
FRANCIS ARINZE,18,1,1
JOHN P LUSKIN,18,3,0
KEVIN M SPELLACY,18,3,0
SEAN P. MOORE,18,1,1
ANTHONY ALTO,17,1,2
BRIAN D. KRAFT,17,3,0
CHARLES KOZELKA,17,1,0
JOSEPH V PAGANO,17,2,0
MICHAEL LISK,17,2,0
ZACHARY HUMPHREY,17,1,0
CAROLYN KAYE RANKE,16,4,1
JOSEPH P MORSE,16,2,0
LAURA T. JONES,16,3,0
LINDA V. GONZALEZ,16,2,0
MICHAEL J GOLDBERG,16,3,0
AUTUMN BASIL,15,2,0
CHRISTOPHER M KELLEY,15,4,0
ERIC M LEVY,15,2,1
HENRY J HILOW,15,4,0
JOHN B GIBBONS,15,4,0
JOSEPH J. LONARDO,15,6,0
JOSHUA R. BARNHIZER,15,5,0
MYRON P WATSON,15,1,0
TIMOTHY J KUCHARSKI,15,3,1
TRACY MARTIN PEEBLES,15,0,0
ADRIENNE CAVENDER,14,2,0
ANDREW SCHRIVER,14,4,0
ANDY PETROPOULEAS,14,2,0
CARL SULLIVAN,14,3,1
CHRISTOPHER A GODINSKY,14,1,0
CHRISTOPHER MCNEAL,14,2,0
J CHARLES RUIZ-BUENO,14,0,1
JASON G HALLER,14,4,0
JENNIFER MCTERNAN,14,1,0
JENNIFER PRITCHARD,14,2,0
"JOHN J READY,JR",14,0,0
JOHN JOSEPH DOWELL,14,3,0
ROD R MASTANDREA,14,2,0
SCOTT R HURLEY,14,4,1
ALLISON S BRENEMAN,13,0,1
JAMES A JENKINS,13,1,1
JONATHAN M MCDONALD,13,0,1
SEAN M SWEENEY,13,3,0
ADAM PARKER,12,0,0
ANTONIO S. NICHOLSON,12,4,0
ASHLEE MCLAUGHLIN,12,0,1
CAL E CUMPSTONE,12,2,0
DIANA G NASSAR,12,0,2
FRANKLIN T TRIOZZI,12,3,0
KYLE DILLON,12,2,0
MARCUS S SIDOTI,12,3,1
MITCHELL J YELSKY,12,1,0
NATHANIEL G SZEP,12,0,0
TIMOTHY A HESS,12,3,1
CHRISTOPHER RIVERO,11,2,1
DONALD BUTLER,11,2,0
NATALIE LASZCZ,11,1,0
NICHOLAS G HADDAD,11,1,0
PABLO A CASTRO,11,3,0
WESLEY A DUMAS,11,1,2
AARON SCHWARTZ,10,1,1
ALISSA R BARBOSKY,10,2,0
EDWARD M MULLIN,10,5,0
ERIKA B. CUNLIFFE,10,2,0
GARY H LEVINE,10,1,0
PATRICK LEARY,10,2,1
ROBERT A DIXON,10,3,0
SHIRLEY M ASALE,10,1,0
AARON J. BROCKLER,9,2,0
ALLISON F HIBBARD,9,1,0
ASHLEY L JONES,9,1,0
ASHLYN CARROLL,9,1,0
