
participant,cases,convictions,dismissals,acquittals,pleas
N/A,2223,0,0,0,0
ARRAIGNMENT ROOM,1801,1,380,0,0
JENNIFER O'DONNELL,379,12,55,0,0
MICHAEL P SHAUGHNESSY,376,7,22,0,0
EMILY HAGAN,373,8,35,0,0
CASSANDRA COLLIER-WILLIAMS,361,10,58,2,0
TIMOTHY MCCORMICK,360,5,26,0,0
KEVIN J KELLEY,330,7,43,0,0
STEVEN E GALL,326,12,49,0,0
ANDREW J. SANTOLI,324,12,43,0,0
SHANNON M GALLAGHER,324,4,38,0,0
BRIAN MOONEY,319,11,35,1,0
JEFFREY P SAFFOLD,318,13,41,0,0
DEBORAH M TURNER,313,13,39,2,0
KELLY ANN GALLAGHER,305,9,34,0,0
NANCY A FUERST,303,4,35,0,0
JOHN J RUSSO,298,4,28,0,0
HOLLIE L GALLAGHER,296,5,44,1,0
JOHN P O'DONNELL,294,6,32,0,0
SHERRIE MIDAY,294,5,35,0,0
ASHLEY KILBANE,291,7,48,0,0
JOAN SYNENBERG,290,6,44,0,0
PETER J CORRIGAN,290,13,33,0,0
WILLIAM F. B. VODREY,275,7,29,0,0
MAUREEN CLANCY,274,4,36,0,0
RICHARD A BELL,268,9,21,0,0
NANCY MARGARET RUSSO,262,1,32,0,0
JOHN D SUTULA,212,7,41,0,0
DANIEL GAUL,210,5,36,0,0
DAVID T MATIA,208,5,26,0,0
WILLIAM T MCGINTY,197,7,17,0,0
KATHLEEN ANN SUTULA,180,3,51,0,0
SHIRLEY STRICKLAND SAFFOLD,171,7,18,1,0
DEENA R CALABRESE,170,1,23,0,0
LAUREN C MOORE,142,3,11,0,0
MOLLIE ANN MURPHY,124,3,9,0,0
CARL J MAZZONE,114,3,8,0,0
TIMOTHY W. CLARY,111,3,13,0,0
JOY KENNEDY,106,0,11,0,0
KIRA KRIVOSH,106,0,8,0,0
BRENDAN J SHEEHAN,94,2,7,0,0
MICHAEL J RUSSO,82,2,14,0,0
JOHN J SPELLACY,70,0,4,0,0
ANTONIO S NICHOLSON,65,2,0,0,0
DIVERSION PROGRAM,52,0,6,0,0
VJ WILLIAM T MCGINTY,25,0,5,0,0
REEVE KELSEY,2,0,0,0,0
JANET R BURNSIDE,1,0,0,0,0
TIMOTHY J MCGINTY,1,1,0,0,0
