participant,cases,convictions,dismissals
N/A,7301,109,731
Cuyahoga County Prosecutor,3301,32,543
MASON MCCARTHY,78,2,5
DOMINIC NEVILLE,67,2,9
JORDAN MASON,64,0,9
BRITTANY FLETCHER,62,1,7
CARLA NEUHAUSER,61,2,6
CARLEY BERMAN,60,1,4
SEAN DRAKE,60,1,7
BENJAMIN FUCHS,59,3,5
ANDREA ISABELLA,58,1,5
CHRISTOPHER WOODWORTH,57,1,6
LIAM BLAKE,56,2,6
LUKE HABERMEHL,54,3,9
BRIAN CALLAHAN,52,1,2
ALEXANDRIA SERDARU,51,1,6
ELLE ENGLISH,51,3,1
JOSEPH LUCCHESI,49,2,3
MAALAEA NEWELL,49,1,4
HALIE TURIGLIATTI,48,3,5
MARYANN ZAKY,48,0,4
CARL FELICE,47,2,3
MARCO TANUDRA,47,2,4
PATRICK WHITE,47,0,4
ERICA SAMMON,44,2,4
MICHAEL J STECHSCHULTE,44,0,7
MORGAN AUSTIN,44,1,5
BRITTANY N STIPICH,43,1,7
KENAN MACK,42,0,5
JONATHAN J BLOCK,41,0,6
MICHAEL TIMMS,41,1,5
ANJALI KANWAR,39,4,1
MARGARET GRAHAM,38,0,4
KYLE DILLON,37,0,4
HANNAH BAKER,36,1,6
MALLORY BUELOW,35,0,5
MIKAYLA ORTIZ,35,2,4
HYOJONG LEE,34,0,5
JONATHAN W SAULINE,34,0,1
CONNOR DAVIN,32,0,0
DANIELLE MUSTER,32,0,0
AYOUB DAKDOUK,31,2,2
BRITTANY STIPICH,31,0,3
DANIELLE V MUSTER,31,1,2
STEPHEN R VERNIA,31,2,2
JOSE TORRES,30,0,1
KRYSTAL LEE,30,0,1
LISA MAHNIC,30,0,2
CHLOE ROBINSON,29,0,1
MAKENNA DAUS,29,1,2
ALYSSA WAITE,28,2,2
JAMES FLANAGAN,28,1,5
JOSEPH P O'MALLEY,27,1,1
DANIEL T SCHREMBECK,26,2,4
JASMINE JACKSON,26,0,4
MICHAEL MARTINEZ,26,1,2
OMAR SIDDIQ,26,3,1
TERESE MCKENNA,26,0,0
JACK DOWLING,25,0,1
THOMAS ROVITO,25,0,0
COURTNEY KIRVEN,24,0,0
BEN FUCHS,22,0,0
COURTNEY M KIRVEN,20,0,2
EAMONN MCDERMOTT,20,0,5
DIANA NASSAR,17,0,3
JOE LUCCHESI,17,1,1
MARY ANN ZAKY,17,0,0
MICHAEL STECHSCHULTE,17,0,0
JONATHAN BLOCK,16,0,3
FALLON MCNALLY,15,0,2
JOHN DOWLING,15,0,0
LUCAS KIRKLAND,15,0,0
ELISSA L,14,2,1
DAN SCHREMBECK,13,0,0
DANIEL SCHREMBECK,13,1,0
JOSHUA J,13,0,0
KAREN GREENE,13,0,1
LISA J TUROSO,13,0,0
JOHN T DOWLING,12,1,1
DANIELLE V,11,0,2
ROCCO VERNIA,11,1,0
CHRIS WOODWORTH,10,1,0
MARY GRACE TOKMENKO,10,0,1
MICHAEL STECHSHULTE,10,0,2
STEPHEN VERNIA,10,1,0
CHAUNCEY KELLER,9,0,1
GRANT MORGAN,9,0,1
JILLIAN PITEO,9,1,0
JONATHAN SAULINE,9,0,1
PATRICK J,9,0,0
STEVEN SZELAGIEWICZ,9,0,1
ZACHARY LAFLEUR,9,1,1
ALAINA HAGANS,8,0,0
ANDREW BOYKO,8,0,1
DIANA G,8,0,2
ELISSA HOPSON,8,1,0
KERRY SOWUL,8,0,1
STIPICH,8,0,1
ZACHARY ANDERSON,8,0,2
ALLIE SERDARU,7,0,2
CEDRIC WARE,7,0,1
GABE RASTATTER,7,1,0
JOHN SAULINE,7,2,2
MARTIN A DIMICHELE,7,0,1
MEGAN HELTON,7,0,0
MELISSA A,7,0,1
NICHOLAS FINK,7,0,0
OWEN PATTON,7,0,0
ALICIA PAOLUCCI,6,0,2
GRANT A,6,0,0
JACOB WILLIAMS,6,0,0
JEFFREY S,6,0,1
JOHN T,6,0,3
MAGGIE GRAHAM,6,0,0
NORA C BRYAN,6,0,0
ZACH ANDERSON,6,0,0
ABE DAKDOUK,5,1,0
CARSON STRANG,5,0,2
GREGORY M,5,0,1
JAMIELLE M LAMSON,5,0,0
JOSHUA MASON,5,0,0
KYRIELLE WILLIAMS,5,0,0
MARTINEZ,5,0,0
NATALIE LASZCZ,5,0,0
ANNA FARAGLIA,4,0,2
CARL MAZZONE,4,1,0
CONNER DAVIN,4,1,0
FALLON RADIGAN,4,0,0
JAMES MAY,4,0,0
JAMES S GALLAGHER,4,1,1
JON SAULINE,4,0,0
KRISTIN M,4,0,1
LISA M,4,0,0
MARK A VENEZIA,4,1,0
MICHAEL A LISK,4,0,1
MIKE MARTINEZ,4,0,0
PATRICK LAVELLE,4,0,0
RYAN J BOKOCH,4,0,0
TIMOTHY TROUP,4,0,2
AMANDA BIZUB,3,0,1
ANDREW F,3,0,0
ANDREW NICHOL,3,0,1
BRAD MEYER,3,0,0
BRANDON PITEO,3,0,0
BRITTANYS STIPICH,3,0,0
CAROLINE MAVER,3,0,0
CHARLES JOYCE,3,0,0
CHRISTINE VACHA,3,0,1
DANIEL CLEARY,3,0,1
DANIELLE MUSTER FOR JORDAN MASON,3,0,0
GLEN RAMDHAN,3,0,1
HALIE TURGLIATTI,3,0,0
JAMES GALLAGHER,3,0,1
JOE LUCHESI,3,0,0
JOHN KIRKLAND,3,0,2
JON BLOCK,3,0,1
JOSEPH LUCCHESI FOR CARLA NEUHAUSER,3,0,0
KEVIN FILIATRAUT,3,0,0
KEVIN R DAY,3,0,0
LIAM BLAKE FOR ALYSSA WAITE,3,0,0
LINDSAY PATTON,3,0,0
LISA TUROSO,3,0,0
MALLORY PARKER,3,0,1
MARTIN DIMICHELE,3,0,0
MCKENNA DAUS,3,0,0
MCNALLY,3,0,0
MELISSA RILEY,3,0,0
NORA BRYAN,3,0,1
OMAR SEDIQ,3,0,2
SAMANTHA SOHL,3,0,0
SAMMON,3,0,0
TOM ROVITO,3,0,0
ALEC BASHEIN,2,0,0
ANDREA ISABELLA FOR BEN FUCHS,2,0,0
ANDREA N ISABELLA,2,0,0
ANDREW BOYKO FOR CARLA NEUHAUSER,2,0,0
ANDREW SZCZEPANIK,2,0,0
ANDY NICHOL,2,0,1
AYOUB DAKDOUK FOR LUKE HABERMEHL,2,0,0
BEN FUCHS FOR ELISSA HOPSON,2,0,0
BEN MCNAIR,2,0,0
BRAD MEYER AND ANDREW BOYKO,2,0,2
