case_id,latest_file,deletable_count_or_reason,mutated_count_or_details
CR-23-686351-A,out/2023/2023-686351_20251118_214138.json,[],"[('out/2023/2023-686351_20251111_130720.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:07:20.780483+00:00"" -> ""2025-11-18T21:41:38.152941+00:00""')]"
CR-23-682860-A,out/2023/2023-682860_20251118_114303.json,[],"[('out/2023/2023-682860_20251111_080238.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T08:02:38.849483+00:00"" -> ""2025-11-18T11:43:03.996109+00:00""')]"
CR-23-687600-A,out/2023/2023-687600_20251119_013748.json,[],"[('out/2023/2023-687600_20251111_145429.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:54:29.144312+00:00"" -> ""2025-11-19T01:37:48.666679+00:00""'), ('out/2023/2023-687600_20251119_013458.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T01:34:58.038675+00:00"" -> ""2025-11-19T01:37:48.666679+00:00""'), ('out/2023/2023-687600_20251119_013720.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T01:37:20.534798+00:00"" -> ""2025-11-19T01:37:48.666679+00:00""')]"
CR-23-684948-A,out/2023/2023-684948_20251118_172501.json,[],"[('out/2023/2023-684948_20251109_211300.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-09T21:13:00.863107+00:00"" -> ""2025-11-18T17:25:01.167480+00:00""'), ('out/2023/2023-684948_20251111_111037.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T11:10:37.208737+00:00"" -> ""2025-11-18T17:25:01.167480+00:00""'), ('out/2023/2023-684948_20251116_080826.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-16T08:08:26.269772+00:00"" -> ""2025-11-18T17:25:01.167480+00:00""')]"
CR-23-678417-A,out/2023/2023-678417_20251116_173404.json,[],"[('out/2023/2023-678417_20251110_181115.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:11:15.164986+00:00"" -> ""2025-11-16T17:34:04.392084+00:00""')]"
CR-23-677937-A,out/2023/2023-677937_20251116_134530.json,[],"[('out/2023/2023-677937_20251110_172922.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:29:22.089370+00:00"" -> ""2025-11-16T13:45:30.468390+00:00""')]"
CR-23-686650-A,out/2023/2023-686650_20251118_224329.json,[],"[('out/2023/2023-686650_20251111_133657.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:36:57.835972+00:00"" -> ""2025-11-18T22:43:29.945545+00:00""'), ('out/2023/2023-686650_20251118_224210.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T22:42:10.158762+00:00"" -> ""2025-11-18T22:43:29.945545+00:00""')]"
CR-23-681142-A,out/2023/2023-681142_20251111_053814.json,[],"[('out/2023/2023-681142_20251110_152942.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:29:42.747202+00:00"" -> ""2025-11-11T05:38:14.811114+00:00""')]"
CR-23-683207-A,out/2023/2023-683207_20251118_125326.json,[],"[('out/2023/2023-683207_20251118_124958.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T12:49:58.302142+00:00"" -> ""2025-11-18T12:53:26.975490+00:00""')]"
CR-23-686591-A,out/2023/2023-686591_20251118_223144.json,[],"[('out/2023/2023-686591_20251111_133052.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:30:52.810597+00:00"" -> ""2025-11-18T22:31:44.066733+00:00""')]"
CR-23-687217-A,out/2023/2023-687217_20251119_001756.json,[],"[('out/2023/2023-687217_20251111_142611.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:26:11.940920+00:00"" -> ""2025-11-19T00:17:56.979490+00:00""')]"
CR-23-677807-A,out/2023/2023-677807_20251116_123239.json,[],"[('out/2023/2023-677807_20251110_171800.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:18:00.792096+00:00"" -> ""2025-11-16T12:32:39.535411+00:00""')]"
CR-23-681366-A,out/2023/2023-681366_20251111_055542.json,[],"[('out/2023/2023-681366_20251110_154441.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:44:41.759128+00:00"" -> ""2025-11-11T05:55:42.262267+00:00""')]"
CR-23-687718-A,out/2023/2023-687718_20251119_020234.json,[],"[('out/2023/2023-687718_20251111_150509.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T15:05:09.377521+00:00"" -> ""2025-11-19T02:02:34.825268+00:00""'), ('out/2023/2023-687718_20251119_015849.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T01:58:49.526438+00:00"" -> ""2025-11-19T02:02:34.825268+00:00""')]"
CR-23-687860-A,out/2023/2023-687860_20251119_022928.json,[],"[('out/2023/2023-687860_20251111_151522.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T15:15:22.582572+00:00"" -> ""2025-11-19T02:29:28.327230+00:00""'), ('out/2023/2023-687860_20251119_022739.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T02:27:39.024725+00:00"" -> ""2025-11-19T02:29:28.327230+00:00""')]"
CR-23-681963-A,out/2023/2023-681963_20251117_132951.json,[],"[('out/2023/2023-681963_20251110_162617.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T16:26:17.785408+00:00"" -> ""2025-11-17T13:29:51.614279+00:00""'), ('out/2023/2023-681963_20251111_065045.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T06:50:45.745250+00:00"" -> ""2025-11-17T13:29:51.614279+00:00""')]"
CR-23-685079-A,out/2023/2023-685079_20251111_112140.json,[],"[('out/2023/2023-685079_20251109_213826.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-09T21:38:26.491175+00:00"" -> ""2025-11-11T11:21:41.000456+00:00""')]"
CR-23-687493-A,out/2023/2023-687493_20251119_011737.json,[],"[('out/2023/2023-687493_20251119_011508.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T01:15:08.111233+00:00"" -> ""2025-11-19T01:17:37.277738+00:00""')]"
CR-23-677876-A,out/2023/2023-677876_20251116_131358.json,[],"[('out/2023/2023-677876_20251110_172447.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:24:47.708292+00:00"" -> ""2025-11-16T13:13:58.021186+00:00""')]"
CR-23-687553-A,out/2023/2023-687553_20251119_012403.json,[],"[('out/2023/2023-687553_20251111_145121.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:51:21.031401+00:00"" -> ""2025-11-19T01:24:03.757045+00:00""')]"
CR-23-682765-A,out/2023/2023-682765_20251118_113055.json,[],"[('out/2023/2023-682765_20251111_075112.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T07:51:12.985527+00:00"" -> ""2025-11-18T11:30:55.623103+00:00""')]"
CR-23-681907-A,out/2023/2023-681907_20251117_132040.json,[],"[('out/2023/2023-681907_20251111_064531.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T06:45:31.626435+00:00"" -> ""2025-11-17T13:20:40.595491+00:00""')]"
