Attorney Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Success Rate
JENNIFER  PRITCHARD,28,34,0,44,39,37.61%
ERIC M LEVY,41,58,1,33,107,17.09%
FRANCIS A GORCZYCA,9,12,0,12,47,16.90%
RACHELLE D. SUMMERS,76,101,0,105,148,29.66%
JOSEPH V PAGANO,44,61,2,70,146,25.81%
DARYL T DENNIE,58,55,2,63,168,22.57%
JAMES J MCDONNELL,41,73,1,95,66,40.85%
ASHLEE  MCLAUGHLIN,27,32,0,27,45,25.96%
MICHAEL V. HEFFERNAN,56,65,0,62,120,25.10%
MICHAEL H PETERSON,10,14,0,21,13,43.75%
OSCAR E RODRIGUEZ,52,72,0,91,147,29.35%
ANTONIO S. NICHOLSON,20,27,0,34,25,39.53%
RICK L. FERRARA,4,5,1,10,4,55.00%
DEANNA  ROBERTSON,49,72,3,67,118,26.92%
CHRISTOPHER  MAHER,52,66,0,80,110,31.25%
SHEILA  DOWNS,59,61,0,73,150,25.70%
DANIEL M. TIRFAGNEHU,60,77,0,92,126,31.19%
CHRISTOPHER  MCNEAL,38,35,0,54,95,29.35%
MICHAEL J GOLDBERG,38,60,0,101,86,40.89%
J MICHAEL  GOLDBERG,3,3,0,5,32,12.50%
VICTORIA L KEKEL,5,6,0,4,9,21.05%
MARK  SPADARO,79,93,0,94,185,25.27%
MARC G DOUMBAS,20,16,0,31,40,35.63%
DAVID H BROWN,88,129,0,111,142,29.06%
WALTER H. EDWARDS JR.,72,97,0,147,143,37.98%
MARY JO TIPPING,50,69,1,54,91,25.58%
KEVIN M CAFFERKEY,59,67,0,81,132,28.93%
SEAN  BUCHANAN,67,70,0,123,143,36.61%
MARY CATHERINE CORRIGAN,45,69,2,78,97,32.52%
BRIAN R MCGRAW,5,7,0,8,5,40.00%
THOMAS M SHAUGHNESSY,84,103,3,167,188,36.88%
SEAN M SWEENEY,45,30,0,53,131,24.77%
JOSEPH J. LONARDO,45,69,2,107,96,39.78%
JEFFREY S RICHARDSON,62,70,1,142,148,39.61%
RACHEL A BERMAN,54,54,0,63,142,24.32%
ISSA M. ELKHATIB,23,31,4,20,45,24.00%
J CHARLES  RUIZ-BUENO,27,33,1,35,50,30.25%
DANIEL J MISIEWICZ,52,75,0,93,122,32.07%
ANTHONY  ALTO,53,63,0,55,107,24.44%
JEFF  GARDNER,62,68,0,75,155,25.17%
NANCY T JAMIESON,77,104,0,107,184,27.09%
PAUL E. MEYER,3,5,0,1,3,11.11%
MARK A DEFRANCO,54,63,2,42,104,20.85%
TRACY MARTIN PEEBLES,40,43,0,32,81,20.51%
JAYE M SCHLACHET,81,95,3,137,191,32.86%
RICHARD A NEFF,51,52,0,59,104,27.44%
BRITT  NEWMAN,57,69,1,67,109,27.64%
HANNAH  MAHAFFEY,3,4,0,2,5,18.18%
CRAIG T WEINTRAUB,22,52,0,37,38,29.13%
AUDREY  DEL VALLE,59,94,0,83,126,27.39%
MATTHEW C. BANGERTER,6,4,0,2,13,10.53%
MARCUS S SIDOTI,23,19,0,42,77,30.43%
CRAIG W. SMOTZER,115,169,3,182,216,32.46%
W SCOTT RAMSEY,74,78,3,115,235,27.38%
BRIAN  RADIGAN,74,105,4,116,138,33.06%
"EDWARD F. BORKOWSKI, JR.",7,7,3,12,7,51.72%
TIMOTHY J KUCHARSKI,43,54,2,54,92,27.72%
PUBLIC  DEFENDER,219,235,0,269,544,25.67%
DAVID  TANNEHILL,52,61,1,73,108,30.45%
WILLIAM C SHAUGHNESSY,118,181,2,127,229,23.93%
ALLISON F HIBBARD,23,35,0,34,60,26.36%
GREGORY SCOTT ROBEY,14,8,0,10,59,12.99%
