case_number,source_file,charges,events
CR-23-677501-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2919.25.A,DOMESTIC VIOLENCE,DISM OTHER | INDICT,2903.08.A(2)(B),AGGRAVATED VEHICULAR ASSAULT; VEHICULAR ASSAULT,DISM OTHER | INDICT,2903.0","08/14/2023,CASE DISMISSED | 08/01/2023,FINAL PRETRIAL HELD | 07/24/2023,PRETRIAL HELD | 07/06/2023,FINAL PRETRIAL HELD | 06/29/2023,PRETRIAL HELD | 06/12/2023,FINAL PRETRIAL HELD | 06/01/2023,PRETRIAL HELD | 05/04/2023,FINAL PRETRIAL HELD | 04/25/2023,PRETRIAL HELD | 04/12/2023,PRETRIAL HELD | 03/27/2023,PRETRIAL HELD | 03/09/2023,PRETRIAL HELD | 02/23/2023,PRETRIAL HELD | 01/24/2023,INDICTED BIND"
CR-23-677503-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C - IND @ P/T","06/10/2024,PV HELD | 04/11/2023,PRETRIAL HELD | 04/04/2023,PRETRIAL HELD | 03/27/2023,PRETRIAL HELD | 03/13/2023,PRETRIAL HELD | 02/27/2023,PRETRIAL HELD | 02/13/2023,PRETRIAL HELD | 01/12/2023,INDICTED BINDOVER | 01/09/2023,BINDOVER CIF#CI237537AO | 01/07/2023,ARRESTED"
CR-23-677506-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2905.02.A(2),""ATTEMPTED, ABDUCTION"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C - IND @ P/T","03/20/2023,FINAL PRETRIAL HELD | 02/23/2023,PRETRIAL HELD | 02/14/2023,PRETRIAL HELD | 01/30/2023,PRETRIAL HELD | 01/13/2023,INDICTED BINDOVER | 01/11/2023,FIRST APPEARANCE | 01/10/2023,CPD EDC SET | 01/09/2023,BINDOVER CIF#CI237533AO | 01/07/2023,ARRESTED"
CR-23-677514-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER","06/04/2024,CASE DISMISSED | 03/28/2023,PRETRIAL HELD | 02/07/2023,PRETRIAL HELD | 01/10/2023,INDICTED ORIGINAL | 01/02/2023,ARRESTED"
CR-23-677520-A,2023_cases_comprehensive.csv,"INDICT,2903.02.A,MURDER,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.01.B,AGGRAVATED MURDER,NOLLE | INDICT,2911.01.A(1),AGGRAVATED ROBBERY,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.02.B,MURDER,NOLLE | INDICT,2911.02.A(1),ROBBERY,NOLLE | INDICT,2903.02.B,MURDER,NOLLE | INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE","08/02/2023,PRETRIAL HELD | 07/19/2023,PRETRIAL HELD | 03/08/2023,PRETRIAL HELD | 02/21/2023,PRETRIAL HELD | 02/06/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/12/2023,FIRST APPEARANCE | 01/11/2023,CPD EDC SET | 01/09/2023,BINDOVER CIF#CI233898BQ | 01/05/2023,ARRESTED"
CR-23-677549-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2911.01.A(1),AGGRAVATED ROBBERY,NOLLE | INDICT,2911.01.A(3),AGGRAVATED ROBBERY,NOLLE","05/18/2023,PRETRIAL HELD | 05/11/2023,PRETRIAL HELD | 05/02/2023,PRETRIAL HELD | 04/18/2023,PRETRIAL HELD | 04/05/2023,PRETRIAL HELD | 03/21/2023,PRETRIAL HELD | 03/08/2023,PRETRIAL HELD | 02/21/2023,PRETRIAL HELD | 01/19/2023,INDICTED BINDOVER | 01/12/2023,FIRST APPEARANCE | 01/11/2023,CPD EDC SET | 01/10/2023,BINDOVER CIF#CI236440AO | 01/06/2023,ARRESTED"
CR-23-677555-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T","03/07/2023,PRETRIAL HELD | 02/15/2023,PRETRIAL HELD | 01/19/2023,INDICTED BINDOVER | 01/10/2023,BINDOVER CIF#CI234009BQ | 01/09/2023,ARRESTED"
CR-23-677563-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2913.02.A(1),THEFT; AGGRAVATED THEFT,NOLLE","07/11/2024,PV HELD | 12/07/2023,PRETRIAL HELD | 10/23/2023,PRETRIAL HELD | 10/12/2023,PRETRIAL HELD | 10/03/2023,PRETRIAL HELD | 09/25/2023,PRETRIAL HELD | 08/31/2023,PRETRIAL HELD | 01/11/2023,INDICTED ORIGINAL"
CR-23-677581-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),DISM OTHER","06/01/2023,CASE DISMISSED | 05/23/2023,PRETRIAL HELD | 04/10/2023,PRETRIAL HELD | 03/27/2023,PRETRIAL HELD | 03/09/2023,PRETRIAL HELD | 02/23/2023,PRETRIAL HELD | 02/08/2023,PRETRIAL HELD | 01/26/2023,PRETRIAL HELD | 01/11/2023,INDICTED ORIGINAL"
CR-23-677582-A,2023_cases_comprehensive.csv,"INDICT,2911.11.A(1),AGGRAVATED BURGLARY,DISM OTHER | INDICT,2905.01.A(3),KIDNAPPING,DISM OTHER | INDICT,2907.02.A(2),""ATTEMPTED, RAPE"",DISM OTHER | INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2919.25.A,DOMESTIC VIOLENCE,DISM OTHER | INDICT,2913.02.A(1),THEFT; AGGRAVATED THEFT,DISM OTHER","11/27/2023,CASE DISMISSED | 06/26/2023,PRETRIAL HELD | 01/11/2023,INDICTED ORIGINAL"
