case_number,source_file,charges,events,likely_felony,reason
CR-23-677522-A,2023_cases_comprehensive.csv,"INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","03/27/2024,PRETRIAL HELD | 03/12/2024,PRETRIAL HELD | 02/21/2024,PRETRIAL HELD | 02/07/2024,PRETRIAL HELD | 01/17/2024,PRETRIAL HELD | 01/03/2024,PRETRIAL HELD | 11/29/2023,PRETRIAL HELD | 11/15/2023,PRETRIAL HELD | 11/01/2023,PRETRIAL HELD | 10/10/2023,PRETRIAL HELD | 09/13/2023,PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 08/10/2023,PRETRIAL HELD | 07/27/2023,PRETRIAL HELD | 07/06/2023,PRETRIAL HE",True,indicted
CR-23-677580-A,2023_cases_comprehensive.csv,"INDICT,2925.11.A,""ATTEMPTED, DRUG POSSESSION"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","12/14/2023,PRETRIAL HELD | 11/30/2023,PRETRIAL HELD | 11/16/2023,PRETRIAL HELD | 11/09/2023,PRETRIAL HELD | 11/02/2023,PRETRIAL HELD | 10/26/2023,PRETRIAL HELD | 10/12/2023,PRETRIAL HELD | 09/28/2023,PRETRIAL HELD | 09/21/2023,PRETRIAL HELD | 08/31/2023,PRETRIAL HELD | 08/17/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 07/12/2023,PRETRIAL HELD | 01/11/2023,INDICTED ORIGINAL | 10/03/2022,ARRESTE",True,indicted
CR-23-677728-A,2023_cases_comprehensive.csv,"INDICT,2925.03.A(2),TRAFFICKING OFFENSE,NOLLE | INDICT,2925.11.A,""ATTEMPTED, DRUG POSSESSION"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2925.03.A(2),TRAFFICKING OFFENSE,NOLLE | INDICT,2925.11.A,DRUG POSSESSION,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","08/02/2023,PRETRIAL HELD | 07/19/2023,PRETRIAL HELD | 06/28/2023,PRETRIAL HELD | 06/20/2023,PRETRIAL HELD | 06/05/2023,PRETRIAL HELD | 05/18/2023,PRETRIAL HELD | 05/04/2023,PRETRIAL HELD | 04/18/2023,PRETRIAL HELD | 01/17/2023,INDICTED ORIGINAL | 11/04/2022,ARRESTED",True,indicted
CR-23-677742-A,2023_cases_comprehensive.csv,"INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T | INDICT,2909.05.B(2),VANDALISM,PLD GLTY- N/C - IND @ P/T","05/20/2024,PRETRIAL HELD | 04/24/2024,PRETRIAL HELD | 04/23/2024,PRETRIAL HELD | 04/10/2024,PRETRIAL HELD | 03/25/2024,PRETRIAL HELD | 03/04/2024,PRETRIAL HELD | 02/21/2024,PRETRIAL HELD | 01/20/2023,INDICTED ORIGINAL | 01/11/2023,ARRESTED",True,indicted
CR-23-677749-A,2023_cases_comprehensive.csv,"INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,PLD GLTY- N/C - IND @ P/T","01/17/2023,INDICTED ORIGINAL",True,indicted
CR-23-677756-A,2023_cases_comprehensive.csv,"INDICT,2925.03.A(2),TRAFFICKING,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,DISM OTHER | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSIO","06/04/2025,CASE DISMISSED | 05/06/2025,PRETRIAL HELD | 04/10/2025,PRETRIAL HELD | 04/01/2025,PRETRIAL HELD | 03/10/2025,PRETRIAL HELD | 01/30/2025,PRETRIAL HELD | 01/13/2025,PRETRIAL HELD | 11/19/2024,PRETRIAL HELD | 09/05/2024,FINAL PRETRIAL HELD | 07/31/2024,PRETRIAL HELD | 07/30/2024,PRETRIAL HELD | 07/25/2024,PRETRIAL HELD | 07/16/2024,PRETRIAL HELD | 07/02/2024,PRETRIAL HELD | 06/25/2024,PRET",True,indicted
CR-23-677797-A,2023_cases_comprehensive.csv,"INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.12.A(1),TAMPERING WITH EVIDENCE,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE | INDICT,2903.13.B,ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T","06/06/2023,PRETRIAL HELD | 05/24/2023,PRETRIAL HELD | 05/04/2023,FINAL PRETRIAL HELD | 04/05/2023,PRETRIAL HELD | 03/29/2023,PRETRIAL HELD | 03/10/2023,PRETRIAL HELD | 02/16/2023,PRETRIAL HELD | 01/18/2023,INDICTED ORIGINAL | 04/06/2022,ARRESTED",True,indicted
CR-23-677808-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,RSP - MV,  | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,  | INDICT,2921.33.A,RESISTING ARREST","11/10/2025,PRETRIAL HELD | 05/10/2023,PRETRIAL HELD | 04/26/2023,PRETRIAL HELD | 04/12/2023,PRETRIAL HELD | 03/15/2023,PRETRIAL HELD | 01/31/2023,INDICTED BINDOVER | 01/17/2023,BINDOVER CIF#CI237616AO | 01/13/2023,ARRESTED",True,indicted
CR-23-677916-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(1),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","02/21/2023,PRETRIAL HELD | 02/07/2023,PRETRIAL HELD | 01/23/2023,INDICTED ORIGINAL | 01/09/2023,ARRESTED",True,indicted
CR-23-677917-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,NOLLE | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.33.A,RESISTING ARREST,PLD GLTY- N/C LIO-AMEND @ P/T","05/26/2023,PRETRIAL HELD | 05/10/2023,PRETRIAL HELD | 04/20/2023,PRETRIAL HELD | 04/06/2023,PRETRIAL HELD | 03/23/2023,PRETRIAL HELD | 03/08/2023,PRETRIAL HELD | 02/06/2023,INDICTED BINDOVER | 01/23/2023,CPD EDC SET | 01/20/2023,BINDOVER CIF#CI234456BQ",True,indicted
