case_id,num_files,files
000022,15,out/2023/2023-000022_20251116_211257.json;out/2023/2023-000022_20251116_211224.json;out/2023/2023-000022_20251116_211216.json;out/2023/2023-000022_20251116_211305.json;out/2023/2023-000022_20251116_211233.json;out/2023/2023-000022_20251116_211151.json;out/2023/2023-000022_20251116_211208.json;out/2023/2023-000022_20251116_211241.json;out/2023/2023-000022_20251116_211249.json;out/2023/2023-000022_20251116_211330.json;out/2023/2023-000022_20251116_211314.json;out/2023/2023-000022_20251116_211200.json;out/2023/2023-000022_20251116_211143.json;out/2023/2023-000022_20251116_211322.json;out/2025/2025-000022_20251110_005529.json
000023,14,out/2024/2024-000023_20251116_211220.json;out/2024/2024-000023_20251116_211318.json;out/2024/2024-000023_20251116_211212.json;out/2024/2024-000023_20251116_211147.json;out/2024/2024-000023_20251116_211253.json;out/2024/2024-000023_20251116_211301.json;out/2024/2024-000023_20251116_211237.json;out/2024/2024-000023_20251116_211310.json;out/2024/2024-000023_20251116_211326.json;out/2024/2024-000023_20251116_211245.json;out/2024/2024-000023_20251116_211204.json;out/2024/2024-000023_20251116_211155.json;out/2024/2024-000023_20251116_211228.json;out/2025/2025-000023_20251110_005531.json
000024,26,out/2024/2024-000024_20251116_211308.json;out/2024/2024-000024_20251116_211235.json;out/2024/2024-000024_20251116_211226.json;out/2024/2024-000024_20251116_211145.json;out/2024/2024-000024_20251116_211202.json;out/2024/2024-000024_20251116_211324.json;out/2024/2024-000024_20251116_211316.json;out/2024/2024-000024_20251116_211259.json;out/2024/2024-000024_20251116_211210.json;out/2024/2024-000024_20251116_211153.json;out/2024/2024-000024_20251116_211218.json;out/2024/2024-000024_20251116_211243.json;out/2024/2024-000024_20251116_211251.json;out/2025/2025-000024_20251116_211249.json;out/2025/2025-000024_20251116_211233.json;out/2025/2025-000024_20251116_211314.json;out/2025/2025-000024_20251116_211330.json;out/2025/2025-000024_20251116_211224.json;out/2025/2025-000024_20251116_211200.json;out/2025/2025-000024_20251116_211216.json;out/2025/2025-000024_20251116_211151.json;out/2025/2025-000024_20251116_211322.json;out/2025/2025-000024_20251116_211208.json;out/2025/2025-000024_20251116_211241.json;out/2025/2025-000024_20251116_211143.json;out/2025/2025-000024_20251110_005533.json
000039,2,out/2025/2025-000039_20251110_005557.json;out/2025/2025-000039_20251116_211257.json
000047,2,out/2025/2025-000047_20251110_005607.json;out/2025/2025-000047_20251116_211305.json
677500,3,out/2023/2023-677500_20251116_091434.json;out/2023/2023-677500_20251110_123020.json;out/2023/2023-677500_20251116_093152.json
677501,4,out/2023/2023-677501_20251116_091457.json;out/2023/2023-677501_20251110_165201.json;out/2023/2023-677501_20251110_100602.json;out/2023/2023-677501_20251116_093221.json
677502,4,out/2023/2023-677502_20251116_093316.json;out/2023/2023-677502_20251110_101114.json;out/2023/2023-677502_20251110_165334.json;out/2023/2023-677502_20251110_123021.json
677503,5,out/2023/2023-677503_20251110_123021.json;out/2023/2023-677503_20251110_101125.json;out/2023/2023-677503_20251110_165201.json;out/2023/2023-677503_20251116_093342.json;out/2023/2023-677503_20251116_093408.json
677504,3,out/2023/2023-677504_20251110_165202.json;out/2023/2023-677504_20251110_122010.json;out/2023/2023-677504_20251116_093436.json
677505,3,out/2023/2023-677505_20251116_091709.json;out/2023/2023-677505_20251116_093501.json;out/2023/2023-677505_20251110_165335.json
677506,4,out/2023/2023-677506_20251110_165204.json;out/2023/2023-677506_20251116_093551.json;out/2023/2023-677506_20251110_165335.json;out/2023/2023-677506_20251110_101157.json
677508,5,out/2023/2023-677508_20251110_123024.json;out/2023/2023-677508_20251116_093619.json;out/2023/2023-677508_20251110_101212.json;out/2023/2023-677508_20251116_091818.json;out/2023/2023-677508_20251110_165353.json
677509,3,out/2023/2023-677509_20251116_093647.json;out/2023/2023-677509_20251110_165353.json;out/2023/2023-677509_20251110_101224.json
677510,2,out/2023/2023-677510_20251110_165353.json;out/2023/2023-677510_20251116_093716.json
677511,6,out/2023/2023-677511_20251116_093816.json;out/2023/2023-677511_20251110_101255.json;out/2023/2023-677511_20251110_123025.json;out/2023/2023-677511_20251110_122217.json;out/2023/2023-677511_20251110_165353.json;out/2023/2023-677511_20251116_092008.json
677512,5,out/2023/2023-677512_20251116_092058.json;out/2023/2023-677512_20251110_100804.json;out/2023/2023-677512_20251110_165354.json;out/2023/2023-677512_20251116_093909.json;out/2023/2023-677512_20251116_093844.json
677513,5,out/2023/2023-677513_20251110_101317.json;out/2023/2023-677513_20251116_092146.json;out/2023/2023-677513_20251110_100816.json;out/2023/2023-677513_20251110_123027.json;out/2023/2023-677513_20251116_094004.json
677514,4,out/2023/2023-677514_20251116_092210.json;out/2023/2023-677514_20251110_123027.json;out/2023/2023-677514_20251116_094056.json;out/2023/2023-677514_20251110_122310.json
677515,3,out/2023/2023-677515_20251116_092257.json;out/2023/2023-677515_20251116_094122.json;out/2023/2023-677515_20251110_165354.json
677516,5,out/2023/2023-677516_20251116_092322.json;out/2023/2023-677516_20251110_123028.json;out/2023/2023-677516_20251110_101350.json;out/2023/2023-677516_20251116_094148.json;out/2023/2023-677516_20251110_165417.json
677517,2,out/2023/2023-677517_20251110_165417.json;out/2023/2023-677517_20251116_094215.json
677518,3,out/2023/2023-677518_20251110_100919.json;out/2023/2023-677518_20251116_094249.json;out/2023/2023-677518_20251110_165418.json
677519,3,out/2023/2023-677519_20251110_122446.json;out/2023/2023-677519_20251116_094344.json;out/2023/2023-677519_20251110_165418.json
677520,4,out/2023/2023-677520_20251110_100941.json;out/2023/2023-677520_20251116_094440.json;out/2023/2023-677520_20251110_165418.json;out/2023/2023-677520_20251110_123130.json
677521,5,out/2023/2023-677521_20251110_123130.json;out/2023/2023-677521_20251116_094508.json;out/2023/2023-677521_20251110_165418.json;out/2023/2023-677521_20251110_100953.json;out/2023/2023-677521_20251116_094534.json
677522,3,out/2023/2023-677522_20251110_165419.json;out/2023/2023-677522_20251110_123130.json;out/2023/2023-677522_20251116_094625.json
677523,4,out/2023/2023-677523_20251110_165419.json;out/2023/2023-677523_20251110_101016.json;out/2023/2023-677523_20251110_123131.json;out/2023/2023-677523_20251116_094721.json
677524,2,out/2023/2023-677524_20251116_094749.json;out/2023/2023-677524_20251110_165442.json
677525,2,out/2023/2023-677525_20251110_165442.json;out/2023/2023-677525_20251116_094822.json
677526,3,out/2023/2023-677526_20251116_094856.json;out/2023/2023-677526_20251110_123132.json;out/2023/2023-677526_20251110_122708.json
677527,3,out/2023/2023-677527_20251110_122725.json;out/2023/2023-677527_20251116_094946.json;out/2023/2023-677527_20251110_123133.json
677528,4,out/2023/2023-677528_20251116_095036.json;out/2023/2023-677528_20251110_122742.json;out/2023/2023-677528_20251116_095012.json;out/2023/2023-677528_20251110_123134.json
677529,3,out/2023/2023-677529_20251116_095128.json;out/2023/2023-677529_20251110_165443.json;out/2023/2023-677529_20251116_095102.json
677530,2,out/2023/2023-677530_20251110_165443.json;out/2023/2023-677530_20251116_095155.json
677531,3,out/2023/2023-677531_20251110_165444.json;out/2023/2023-677531_20251116_095221.json;out/2023/2023-677531_20251116_095246.json
677532,4,out/2023/2023-677532_20251110_165507.json;out/2023/2023-677532_20251116_095339.json;out/2023/2023-677532_20251110_123136.json;out/2023/2023-677532_20251110_122854.json
677533,3,out/2023/2023-677533_20251116_095433.json;out/2023/2023-677533_20251110_165507.json;out/2023/2023-677533_20251110_122912.json
677534,2,out/2023/2023-677534_20251116_095501.json;out/2023/2023-677534_20251110_165507.json
677535,2,out/2023/2023-677535_20251110_165507.json;out/2023/2023-677535_20251116_095527.json
677536,2,out/2023/2023-677536_20251116_095619.json;out/2023/2023-677536_20251110_165508.json
677537,2,out/2023/2023-677537_20251116_095711.json;out/2023/2023-677537_20251110_165508.json
677538,2,out/2023/2023-677538_20251116_095738.json;out/2023/2023-677538_20251110_165508.json
677539,2,out/2023/2023-677539_20251116_095805.json;out/2023/2023-677539_20251110_165508.json
677540,2,out/2023/2023-677540_20251116_095838.json;out/2023/2023-677540_20251110_123242.json
677542,2,out/2023/2023-677542_20251116_095911.json;out/2023/2023-677542_20251110_123242.json
677543,2,out/2023/2023-677543_20251116_095938.json;out/2023/2023-677543_20251110_123243.json
677544,3,out/2023/2023-677544_20251114_070235.json;out/2023/2023-677544_20251116_100030.json;out/2023/2023-677544_20251116_100005.json
677545,2,out/2023/2023-677545_20251110_123244.json;out/2023/2023-677545_20251116_100122.json
677546,3,out/2023/2023-677546_20251110_165533.json;out/2023/2023-677546_20251110_123244.json;out/2023/2023-677546_20251116_100150.json
677547,4,out/2023/2023-677547_20251116_100245.json;out/2023/2023-677547_20251110_123245.json;out/2023/2023-677547_20251116_100218.json;out/2023/2023-677547_20251116_082800.json
677548,2,out/2023/2023-677548_20251110_165622.json;out/2023/2023-677548_20251116_100313.json
677549,3,out/2023/2023-677549_20251110_165622.json;out/2023/2023-677549_20251116_100341.json;out/2023/2023-677549_20251116_100408.json
677550,2,out/2023/2023-677550_20251110_165622.json;out/2023/2023-677550_20251116_100503.json
677551,3,out/2023/2023-677551_20251110_165622.json;out/2023/2023-677551_20251116_100602.json;out/2023/2023-677551_20251116_100532.json
677552,2,out/2023/2023-677552_20251110_165622.json;out/2023/2023-677552_20251116_100631.json
677553,3,out/2023/2023-677553_20251112_160511.json;out/2023/2023-677553_20251116_100659.json;out/2023/2023-677553_20251116_100726.json
677554,3,out/2023/2023-677554_20251110_165622.json;out/2023/2023-677554_20251116_100753.json;out/2023/2023-677554_20251116_100821.json
677555,2,out/2023/2023-677555_20251116_100923.json;out/2023/2023-677555_20251114_070237.json
677556,2,out/2023/2023-677556_20251110_165640.json;out/2023/2023-677556_20251116_101024.json
677557,2,out/2023/2023-677557_20251110_165640.json;out/2023/2023-677557_20251116_101055.json
677558,2,out/2023/2023-677558_20251116_101124.json;out/2023/2023-677558_20251110_123251.json
677561,2,out/2023/2023-677561_20251110_165641.json;out/2023/2023-677561_20251116_101219.json
677562,3,out/2023/2023-677562_20251116_101247.json;out/2023/2023-677562_20251116_101314.json;out/2023/2023-677562_20251110_123551.json
677563,3,out/2023/2023-677563_20251110_123551.json;out/2023/2023-677563_20251116_101408.json;out/2023/2023-677563_20251110_165641.json
677564,3,out/2023/2023-677564_20251110_123551.json;out/2023/2023-677564_20251110_165911.json;out/2023/2023-677564_20251116_101502.json
677565,4,out/2023/2023-677565_20251110_165911.json;out/2023/2023-677565_20251116_101529.json;out/2023/2023-677565_20251116_101556.json;out/2023/2023-677565_20251110_123551.json
677566,3,out/2023/2023-677566_20251110_123552.json;out/2023/2023-677566_20251116_101650.json;out/2023/2023-677566_20251110_165911.json
677567,3,out/2023/2023-677567_20251110_165912.json;out/2023/2023-677567_20251116_101744.json;out/2023/2023-677567_20251110_123553.json
677568,2,out/2023/2023-677568_20251110_165912.json;out/2023/2023-677568_20251116_101840.json
677569,2,out/2023/2023-677569_20251116_101907.json;out/2023/2023-677569_20251110_165912.json
677570,2,out/2023/2023-677570_20251110_165912.json;out/2023/2023-677570_20251116_101935.json
677571,2,out/2023/2023-677571_20251110_165913.json;out/2023/2023-677571_20251116_102001.json
677572,3,out/2023/2023-677572_20251116_102029.json;out/2023/2023-677572_20251116_102054.json;out/2023/2023-677572_20251110_123555.json
677573,2,out/2023/2023-677573_20251110_165931.json;out/2023/2023-677573_20251116_102148.json
677575,2,out/2023/2023-677575_20251116_102217.json;out/2023/2023-677575_20251110_165931.json
677576,3,out/2023/2023-677576_20251116_102251.json;out/2023/2023-677576_20251110_165931.json;out/2023/2023-677576_20251110_123557.json
677577,3,out/2023/2023-677577_20251116_102320.json;out/2023/2023-677577_20251110_123558.json;out/2023/2023-677577_20251110_165931.json
677578,2,out/2023/2023-677578_20251110_165932.json;out/2023/2023-677578_20251116_102419.json
677579,2,out/2023/2023-677579_20251110_165932.json;out/2023/2023-677579_20251116_102451.json
677580,3,out/2023/2023-677580_20251110_165957.json;out/2023/2023-677580_20251116_102553.json;out/2023/2023-677580_20251110_123617.json
677581,3,out/2023/2023-677581_20251110_165957.json;out/2023/2023-677581_20251110_123618.json;out/2023/2023-677581_20251116_102621.json
677582,3,out/2023/2023-677582_20251110_165957.json;out/2023/2023-677582_20251110_123618.json;out/2023/2023-677582_20251116_102649.json
677583,2,out/2023/2023-677583_20251116_102744.json;out/2023/2023-677583_20251114_070241.json
677584,3,out/2023/2023-677584_20251116_102839.json;out/2023/2023-677584_20251110_123619.json;out/2023/2023-677584_20251110_165957.json
677585,2,out/2023/2023-677585_20251110_165957.json;out/2023/2023-677585_20251116_102908.json
677586,2,out/2023/2023-677586_20251110_165957.json;out/2023/2023-677586_20251116_102937.json
677587,2,out/2023/2023-677587_20251116_103003.json;out/2023/2023-677587_20251114_070242.json
