case_number,total_matches,num_files,file_paths,year
CR-23-677590-A,2,1,out/2023/2023-677590_20251116_103154.json,2023
CR-23-677622-A,2,1,out/2023/2023-677622_20251116_104908.json,2023
CR-23-677651-A,3,1,out/2023/2023-677651_20251116_110216.json,2023
CR-23-677658-A,2,1,out/2023/2023-677658_20251116_110742.json,2023
CR-23-677672-A,2,1,out/2023/2023-677672_20251116_111237.json,2023
CR-23-677745-A,3,1,out/2023/2023-677745_20251116_115131.json,2023
CR-23-677763-A,2,1,out/2023/2023-677763_20251116_120358.json,2023
CR-23-677764-A,3,1,out/2023/2023-677764_20251116_120426.json,2023
CR-23-677793-A,2,1,out/2023/2023-677793_20251116_122226.json,2023
CR-23-677794-A,2,1,out/2023/2023-677794_20251116_122325.json,2023
CR-23-677802-A,3,1,out/2023/2023-677802_20251116_122856.json,2023
CR-23-677835-A,2,1,out/2023/2023-677835_20251116_125044.json,2023
CR-23-677883-A,6,1,out/2023/2023-677883_20251116_131804.json,2023
CR-23-677892-A,2,1,out/2023/2023-677892_20251116_132354.json,2023
CR-23-677904-A,3,1,out/2023/2023-677904_20251116_132647.json,2023
CR-23-677920-A,3,1,out/2023/2023-677920_20251116_133401.json,2023
CR-23-677926-A,3,1,out/2023/2023-677926_20251116_133902.json,2023
CR-23-677931-A,8,3,out/2023/2023-677931_20251116_134121.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-677931_20251110_172902.json;out/obstructing_cases/out/2023/2023-677931_20251116_134121.json,2023
CR-23-677933-A,2,1,out/2023/2023-677933_20251116_134311.json,2023
CR-23-677934-A,3,1,out/2023/2023-677934_20251116_134338.json,2023
CR-23-677947-A,2,1,out/2023/2023-677947_20251116_135114.json,2023
CR-23-677971-A,3,1,out/2023/2023-677971_20251116_140628.json,2023
CR-23-677973-A,2,1,out/2023/2023-677973_20251116_140755.json,2023
CR-23-677990-A,3,1,out/2023/2023-677990_20251116_141831.json,2023
CR-23-677992-A,3,1,out/2023/2023-677992_20251116_142019.json,2023
CR-23-677993-A,3,1,out/2023/2023-677993_20251116_142113.json,2023
CR-23-677995-A,2,1,out/2023/2023-677995_20251116_142210.json,2023
CR-23-677996-A,3,1,out/2023/2023-677996_20251116_142304.json,2023
CR-23-677997-A,3,1,out/2023/2023-677997_20251116_142358.json,2023
CR-23-677999-A,6,1,out/2023/2023-677999_20251116_142549.json,2023
CR-23-678010-A,3,1,out/2023/2023-678010_20251116_143100.json,2023
CR-23-678015-A,2,1,out/2023/2023-678015_20251116_143323.json,2023
CR-23-678051-A,2,1,out/2023/2023-678051_20251116_145152.json,2023
CR-23-678057-A,3,1,out/2023/2023-678057_20251116_145554.json,2023
CR-23-678059-A,2,1,out/2023/2023-678059_20251116_145746.json,2023
CR-23-678064-A,2,1,out/2023/2023-678064_20251116_150100.json,2023
CR-23-678121-A,3,1,out/2023/2023-678121_20251116_154040.json,2023
CR-23-678125-A,3,1,out/2023/2023-678125_20251116_154355.json,2023
CR-23-678137-A,3,1,out/2023/2023-678137_20251116_155037.json,2023
CR-23-678138-A,3,1,out/2023/2023-678138_20251116_155132.json,2023
CR-23-678190-A,3,1,out/2023/2023-678190_20251116_160324.json,2023
CR-23-678201-A,2,1,out/2023/2023-678201_20251116_161058.json,2023
CR-23-678228-A,3,1,out/2023/2023-678228_20251116_162619.json,2023
CR-23-678279-A,3,1,out/2023/2023-678279_20251116_164256.json,2023
CR-23-678389-A,3,1,out/2023/2023-678389_20251116_172232.json,2023
CR-23-678432-A,3,1,out/2023/2023-678432_20251116_174013.json,2023
CR-23-678433-A,3,1,out/2023/2023-678433_20251116_174107.json,2023
CR-23-678434-A,3,1,out/2023/2023-678434_20251116_174201.json,2023
CR-23-678442-A,3,1,out/2023/2023-678442_20251116_174636.json,2023
CR-23-678466-A,3,1,out/2023/2023-678466_20251116_175746.json,2023
CR-23-678506-A,3,1,out/2023/2023-678506_20251116_181818.json,2023
CR-23-678520-A,3,1,out/2023/2023-678520_20251116_182737.json,2023
CR-23-678534-A,3,1,out/2023/2023-678534_20251116_183629.json,2023
CR-23-678546-A,3,1,out/2023/2023-678546_20251116_184413.json,2023
CR-23-678590-A,3,1,out/2023/2023-678590_20251116_190516.json,2023
CR-23-678606-A,3,1,out/2023/2023-678606_20251116_191355.json,2023
CR-23-678657-A,3,1,out/2023/2023-678657_20251116_193442.json,2023
CR-23-678747-A,3,1,out/2023/2023-678747_20251116_202012.json,2023
CR-23-678774-A,3,1,out/2023/2023-678774_20251116_203417.json,2023
CR-23-678807-A,3,1,out/2023/2023-678807_20251116_204827.json,2023
CR-23-678819-A,3,1,out/2023/2023-678819_20251116_205342.json,2023
CR-23-678847-A,3,1,out/2023/2023-678847_20251116_210934.json,2023
CR-23-678881-A,1,1,out/2023/2023-678881_20251110_185449.json,2023
CR-23-678898-A,1,1,out/2023/2023-678898_20251110_185602.json,2023
CR-23-678935-A,1,1,out/2023/2023-678935_20251110_185913.json,2023
CR-23-678945-A,1,1,out/2023/2023-678945_20251110_185939.json,2023
CR-23-678966-A,2,1,out/2023/2023-678966_20251110_190110.json,2023
CR-23-679086-A,1,1,out/2023/2023-679086_20251110_191108.json,2023
CR-23-679113-A,3,1,out/2023/2023-679113_20251116_082028.json,2023
CR-23-679169-A,2,2,out/2023/2023-679169_20251110_191658.json;out/obstructing_cases/out/2023/2023-679169_20251110_191658.json,2023
CR-23-679174-A,1,1,out/2023/2023-679174_20251110_191745.json,2023
CR-23-679181-A,6,1,out/2023/2023-679181_20251110_132517.json,2023
CR-23-679189-A,1,1,out/2023/2023-679189_20251110_191918.json,2023
CR-23-679225-A,1,1,out/2023/2023-679225_20251110_192125.json,2023
CR-23-679304-A,1,1,out/2023/2023-679304_20251110_192922.json,2023
CR-23-679327-A,1,1,out/2023/2023-679327_20251110_193108.json,2023
CR-23-679329-A,1,1,out/2023/2023-679329_20251110_193108.json,2023
CR-23-679332-A,2,2,out/2023/2023-679332_20251110_193131.json;out/obstructing_cases/out/2023/2023-679332_20251110_193131.json,2023
CR-23-679369-A,3,1,out/2023/2023-679369_20251117_072012.json,2023
CR-23-679519-A,3,1,out/2023/2023-679519_20251117_074837.json,2023
CR-23-679541-A,1,1,out/2023/2023-679541_20251110_195018.json,2023
CR-23-679547-A,1,1,out/2023/2023-679547_20251110_195019.json,2023
CR-23-679570-A,1,1,out/2023/2023-679570_20251110_195410.json,2023
CR-23-679591-A,1,1,out/2023/2023-679591_20251110_195803.json,2023
CR-23-679607-A,1,1,out/2023/2023-679607_20251110_195846.json,2023
CR-23-679661-A,1,1,out/2023/2023-679661_20251110_200444.json,2023
CR-23-679711-A,1,1,out/2023/2023-679711_20251110_140122.json,2023
CR-23-679716-A,1,1,out/2023/2023-679716_20251112_162616.json,2023
CR-23-679848-A,2,1,out/2023/2023-679848_20251110_202221.json,2023
CR-23-679934-A,1,1,out/2023/2023-679934_20251110_203038.json,2023
CR-23-679943-A,3,1,out/2023/2023-679943_20251117_084939.json,2023
CR-23-680126-A,3,1,out/2023/2023-680126_20251117_090437.json,2023
CR-23-680201-A,3,1,out/2023/2023-680201_20251110_142917.json,2023
CR-23-680215-A,1,1,out/2023/2023-680215_20251111_010003.json,2023
CR-23-680245-A,3,1,out/2023/2023-680245_20251117_091629.json,2023
CR-23-680249-A,3,1,out/2023/2023-680249_20251117_091733.json,2023
CR-23-680282-A,2,1,out/2023/2023-680282_20251111_035909.json,2023
CR-23-680400-A,3,1,out/2023/2023-680400_20251117_093708.json,2023
CR-23-680487-A,2,1,out/2023/2023-680487_20251117_094711.json,2023
CR-23-680492-A,1,1,out/2023/2023-680492_20251111_044340.json,2023
